,EdLevel,EdLevelClean
0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
1,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
2,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
3,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
4,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
5,Some college/university study without earning a degree,Some college (no degree)
6,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
7,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
8,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
9,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
10,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
11,"Associate degree (A.A., A.S., etc.)",Associate degree
12,Some college/university study without earning a degree,Some college (no degree)
13,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
14,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
15,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
16,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
17,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
18,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
19,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
20,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
21,Some college/university study without earning a degree,Some college (no degree)
22,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
23,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
24,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
25,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
